                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.67247,                0.52652,                0.97302,                0.85282,                0.78419,                0.86107,                0.70971,                0.70995,                0.72754,                0.98145,             0.00034644,             0.00034644,             0.00034644
                     62,                0.68958,                0.53637,                0.98496,                0.84846,                0.79967,                0.84568,                0.69721,                 0.7005,                0.74015,                0.97685,              0.0003382,              0.0003382,              0.0003382
                     63,                0.67815,                0.52754,                0.97569,                0.86169,                0.77479,                0.85793,                0.71481,                0.67897,                  0.744,                0.95509,             0.00032995,             0.00032995,             0.00032995
                     64,                0.68278,                0.54554,                0.98568,                0.85196,                0.79305,                0.85893,                0.70972,                0.69117,                0.74611,                0.97148,              0.0003217,              0.0003217,              0.0003217
                     65,                0.68297,                0.54067,                0.98106,                 0.8493,                0.81573,                0.85663,                0.70984,                0.68401,                0.73563,                0.96699,             0.00031346,             0.00031346,             0.00031346
                     66,                0.66147,                0.53873,                0.97351,                 0.8314,                0.81555,                0.85575,                0.70975,                0.68595,                0.73185,                0.96111,             0.00030521,             0.00030521,             0.00030521
                     67,                0.66327,                0.51508,                0.97393,                0.84105,                 0.8207,                0.86235,                0.71601,                0.67903,                0.70489,                0.95703,             0.00029696,             0.00029696,             0.00029696
                     68,                0.66721,                0.52458,                0.97653,                0.85372,                0.78048,                0.85267,                0.70704,                0.69072,                0.71329,                 0.9679,             0.00028872,             0.00028872,             0.00028872
                     69,                0.67415,                0.53037,                0.97762,                0.84256,                0.80885,                0.85382,                0.70695,                0.68322,                0.70466,                0.95582,             0.00028047,             0.00028047,             0.00028047
                     70,                0.68091,                0.51318,                0.97808,                0.85104,                0.81291,                0.87188,                0.72238,                0.68838,                 0.6986,                0.96106,             0.00027222,             0.00027222,             0.00027222
                     71,                0.66944,                0.50414,                0.97323,                0.87186,                0.80866,                0.86339,                 0.7136,                0.69346,                0.71068,                0.96694,             0.00026398,             0.00026398,             0.00026398
                     72,                0.64442,                0.49522,                  0.978,                0.84786,                0.79442,                0.87056,                0.72558,                0.68372,                0.71381,                0.95562,             0.00025573,             0.00025573,             0.00025573
                     73,                0.66535,                0.51883,                0.98331,                0.83695,                0.82719,                0.86589,                0.71987,                0.68866,                0.69828,                0.95718,             0.00024748,             0.00024748,             0.00024748
                     74,                0.65466,                0.48775,                0.96903,                0.85073,                0.80163,                0.86474,                  0.712,                0.68956,                0.71016,                0.95922,             0.00023924,             0.00023924,             0.00023924
                     75,                0.65641,                 0.5062,                0.97553,                0.86223,                0.80495,                 0.8713,                0.72041,                0.67989,                0.70136,                0.95432,             0.00023099,             0.00023099,             0.00023099
                     76,                 0.6522,                0.48048,                0.97227,                  0.863,                0.80732,                0.87066,                0.72533,                0.68837,                0.67741,                0.96118,             0.00022274,             0.00022274,             0.00022274
                     77,                0.64882,                0.49438,                0.97224,                0.83882,                0.82012,                0.86274,                0.71116,                0.68568,                0.68083,                0.96081,              0.0002145,              0.0002145,              0.0002145
                     78,                0.66925,                0.49585,                0.97836,                0.84793,                0.81172,                0.86317,                0.71493,                0.69207,                0.70342,                0.96338,             0.00020625,             0.00020625,             0.00020625
                     79,                0.64892,                0.48014,                0.96628,                0.85374,                 0.8048,                0.86461,                0.71509,                0.68207,                0.71313,                0.96016,               0.000198,               0.000198,               0.000198
                     80,                0.64629,                 0.4697,                0.97122,                 0.8502,                0.81631,                0.86618,                0.71561,                0.68808,                0.69055,                0.96081,             0.00018976,             0.00018976,             0.00018976
                     81,                0.65498,                0.49537,                0.97289,                 0.8342,                 0.8245,                0.87924,                0.72897,                0.68433,                0.69055,                0.95707,             0.00018151,             0.00018151,             0.00018151
                     82,                0.64299,                0.47004,                0.97445,                0.87795,                 0.7652,                0.86644,                0.71971,                0.68105,                 0.7145,                0.95556,             0.00017326,             0.00017326,             0.00017326
                     83,                0.64436,                0.47665,                0.96605,                 0.8534,                0.80943,                0.87445,                0.72488,                0.68507,                0.70683,                0.95731,             0.00016502,             0.00016502,             0.00016502
                     84,                0.61969,                0.44404,                0.96435,                0.86193,                0.79092,                  0.868,                  0.719,                0.69011,                0.68955,                0.96305,             0.00015677,             0.00015677,             0.00015677
                     85,                0.63357,                0.46065,                0.96466,                0.86439,                  0.796,                0.86918,                0.72118,                0.69188,                0.71924,                0.96529,             0.00014852,             0.00014852,             0.00014852
                     86,                0.63469,                0.45067,                 0.9683,                0.86018,                0.79564,                0.85991,                0.71503,                0.68359,                0.70635,                 0.9595,             0.00014028,             0.00014028,             0.00014028
                     87,                0.63301,                0.45549,                0.95763,                0.87592,                0.79358,                0.87294,                0.72881,                0.68266,                0.68495,                0.95643,             0.00013203,             0.00013203,             0.00013203
                     88,                0.62657,                0.45304,                0.96118,                0.86756,                0.81065,                0.87383,                0.72567,                0.68432,                0.68467,                0.95676,             0.00012378,             0.00012378,             0.00012378
                     89,                0.62341,                0.45458,                0.96232,                0.85827,                0.80837,                0.87173,                 0.7238,                0.68182,                 0.6862,                0.95929,             0.00011554,             0.00011554,             0.00011554
                     90,                 0.6218,                0.43876,                0.96131,                0.88928,                0.78899,                0.86358,                0.71673,                0.68342,                0.69445,                0.95844,             0.00010729,             0.00010729,             0.00010729
                     91,                0.55675,                0.35484,                0.90932,                0.87056,                0.81679,                0.86518,                0.72099,                0.68239,                0.68627,                0.95954,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     92,                0.55671,                 0.3454,                0.91066,                0.86264,                0.82381,                0.86952,                0.72246,                0.67996,                 0.6833,                0.96014,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     93,                0.55335,                0.33707,                0.90712,                0.86784,                0.81044,                 0.8628,                0.71805,                0.67603,                 0.6905,                0.95812,              8.255e-05,              8.255e-05,              8.255e-05
                     94,                0.54555,                0.33841,                0.91193,                0.87617,                0.81628,                0.87118,                0.72528,                0.68237,                0.68979,                0.95821,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     95,                0.55195,                 0.3559,                0.91094,                0.89244,                0.79959,                0.87163,                0.72604,                0.68301,                 0.6888,                0.95839,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     96,                0.54402,                0.33448,                0.90572,                0.88479,                 0.8004,                0.86867,                0.72567,                0.68243,                    0.7,                0.95918,              5.781e-05,              5.781e-05,              5.781e-05
                     97,                0.54357,                0.32793,                0.90873,                0.90103,                0.78337,                0.87194,                0.72943,                0.68131,                0.70613,                0.95798,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     98,                0.54482,                 0.3257,                0.90666,                0.88073,                0.79742,                0.86508,                0.72129,                0.68164,                0.70389,                0.96105,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     99,                 0.5397,                0.31371,                 0.9001,                0.88872,                0.79716,                0.86754,                 0.7236,                0.68633,                0.70543,                0.96687,              3.307e-05,              3.307e-05,              3.307e-05
                    100,                0.53559,                0.31454,                0.90113,                0.88791,                0.79416,                0.86894,                0.72599,                0.68636,                0.70924,                0.96467,             2.4823e-05,             2.4823e-05,             2.4823e-05
